_class,_id,batchId,Year,Quarter,Month,Day,createdBy,designId,Year,Quarter,Month,Day,lastModifiedBy,qrCode,type,urlPrefix
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d6382ecd43e5d5bb72,6632d5d6382ecd43e5d5bb71,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38b382ecd43e5d5bb0d,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6xYz01,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d7382ecd43e5d5bb74,6632d5d7382ecd43e5d5bb73,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38c382ecd43e5d5bb0e,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,tstRrS,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d7382ecd43e5d5bb76,6632d5d7382ecd43e5d5bb75,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38d382ecd43e5d5bb0f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,srqQpP,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d8382ecd43e5d5bb78,6632d5d8382ecd43e5d5bb77,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38d382ecd43e5d5bb10,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,rqpPoO,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d8382ecd43e5d5bb7a,6632d5d8382ecd43e5d5bb79,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38e382ecd43e5d5bb11,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,qpoOnN,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d8382ecd43e5d5bb7c,6632d5d8382ecd43e5d5bb7b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38e382ecd43e5d5bb12,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,pmnMnm,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d9382ecd43e5d5bb7e,6632d5d9382ecd43e5d5bb7d,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38f382ecd43e5d5bb13,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,y0zYyZ,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d9382ecd43e5d5bb80,6632d5d9382ecd43e5d5bb7f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38f382ecd43e5d5bb14,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,xyzXxY,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5da382ecd43e5d5bb82,6632d5da382ecd43e5d5bb81,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d38f382ecd43e5d5bb15,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,wxvWwW,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5db382ecd43e5d5bb84,6632d5db382ecd43e5d5bb83,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d390382ecd43e5d5bb16,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,vwuVuV,URL,https://securetag.in/found
